basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,index_return_ic_win,index_return_if_win,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
,,,,,,,,,,
,,,,0.00864192841773408,0.018132837221052387,0.3779378128800414,0.1672273938995085,0.21071041898053292,,
,,,,-0.017807438290528183,-0.016280138381000064,0.350675648991258,0.12750469391718447,0.22317095507407356,,
,,,,0.03420292588043147,0.02127618796865544,0.3276853287057436,0.11338211409135315,0.21430321461439042,,
,,,,0.025644936452457728,0.025784180134499138,0.3135655240283006,0.10661275131300144,0.2069527727152992,,
,,,,0.010430992390008957,0.0002278312792665512,0.25409796953834207,0.0394532903656132,0.21464467917272886,,
,,,,0.0009972788378723434,-0.008100828646583973,0.17181993795502434,-0.022146062301141647,0.193966000256166,,
,,,,0.011093946086260353,0.022071865906315116,0.17676028596615045,0.0175899499475622,0.15917033601858827,,
,,,,-0.029387139864524812,-0.013766455254852254,0.18739964951936403,0.014975140640742794,0.17242450887862124,,
,,,,0.01938048661018962,0.006824186152074109,0.1809419560001672,-0.0074815322463761165,0.1884234882465433,,
,,,,0.004902267946738717,-0.005132190067953637,0.07427143105181466,-0.09625641450077449,0.17052784555258915,,
,,,,0.004806561656117932,0.00793702391490838,0.001765922481367671,-0.12505119996068048,0.12681712244204815,,
,,,,-0.0372443116570832,-0.040689372888010486,0.0454290123036611,-0.06799960647516946,0.11342861877883056,,
,,,,-0.014291184034778954,-0.009510277500718046,0.025594407711755557,-0.07773955696021456,0.10333396467197012,,
,,,,-0.022460051280715078,-0.018450290758870145,-0.031148817543831094,-0.1029234907110716,0.07177467316724051,,
,,,,0.03698890901184794,0.01956314211053216,-0.07185580662135778,-0.14004955064744978,0.068193744026092,,
,,,,0.04260016614520851,0.028573897708527862,-0.12522339543125063,-0.13104314054446053,0.005819745113209901,,
,,,,0.02166764457082231,0.012055730118093088,-0.23534763920835136,-0.1774145555218053,-0.057933083686546066,,
,,,,0.009020921978796047,-0.006123076095203417,-0.28113035415579085,-0.2593084548348855,-0.021821899320905336,,
,,,,-0.0013080611233726531,-0.0037497840995165985,-0.24658803932068482,-0.19111058665003017,-0.05547745267065465,,
,,,,-0.008032269605444241,-0.017881516345453565,-0.19599070706816363,-0.13514373137119665,-0.06084697569696698,,
,,,,0.018214901031158765,-0.009209636695777085,-0.127586941728629,-0.09195407212134096,-0.03563286960728804,,
,,,,0.024544470167660648,0.03354579801231936,-0.12478850307467391,-0.1066915364472388,-0.01809696662743511,,
,,,,0.01657429974122525,0.004996774095952219,-0.20880438057689182,-0.17623370887511,-0.03257067170178182,,
,,,,0.03618959451239063,0.0179373081107599,-0.20222449771228568,-0.17354672889737363,-0.028677768814912047,,
,,,,0.01638896005760413,0.02254106744554976,-0.18498504530377083,-0.1536485247097043,-0.031336520594066525,,
,,,,0.0264336261243917,0.029484248691677525,-0.18625391829706014,-0.17399606817937777,-0.012257850117682378,,
,,,,0.032676110912843816,0.01930841600021954,-0.1999595448509315,-0.2021847126402555,0.002225167789323995,,
,,,,0.011859702456159407,-0.0033698317592424083,-0.2205715213886747,-0.22361876288368387,0.0030472414950091786,,
